Quantidade de Macacos:; 200;Raio dos Alarmes:; 7;Raio de predadores:;8;Quantidade de Aguias:; 15;Quantidade de Cobras:; 13;Quantidade de Tigres:; 17;Quantidade de iteracoes:; 50
s0;s1;s2;s3;s4;s5;s6;s7;s8;s9
00.788995;0.266457;0.320292;0.297128;0.537919;0.848292;0.645436;0.244881;0.86758;0.414899
10.788995;0.466457;0.320292;0.597128;0.537919;0.848292;0.945436;0.444881;1.26758;0.414899
20.788995;0.566457;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
30.788995;0.866457;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
40.788995;1.16646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
50.788995;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
60.888995;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
70.988995;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
81.089;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
91.089;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
101.189;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
111.389;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
121.489;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
131.589;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
141.689;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
151.689;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
161.689;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
171.689;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
181.689;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
191.789;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
201.889;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
212.089;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
222.189;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
232.589;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
243.089;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.844881;1.36758;0.414899
253.489;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.944881;1.36758;0.414899
263.889;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.944881;1.36758;0.414899
274.189;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.944881;1.36758;0.414899
284.489;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.944881;1.36758;0.414899
294.689;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;0.944881;1.36758;0.414899
304.989;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
315.089;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
325.089;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
335.389;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
345.689;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
355.889;1.26646;0.320292;0.697128;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
366.089;1.26646;0.320292;0.797128;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
376.589;1.26646;0.320292;0.797128;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
387.189;1.26646;0.320292;0.797128;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
397.589;1.26646;0.320292;0.797128;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
408.189;1.26646;0.320292;0.897128;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
418.689;1.26646;0.320292;1.09713;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
429.289;1.26646;0.320292;1.19713;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
439.789;1.26646;0.320292;1.59713;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
4410.389;1.26646;0.320292;1.59713;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
4510.989;1.26646;0.320292;1.69713;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
4611.589;1.26646;0.320292;1.89713;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
4711.989;1.26646;0.320292;2.09713;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
4812.189;1.26646;0.320292;2.49713;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
4912.389;1.26646;0.320292;2.79713;0.537919;0.848292;1.04544;1.04488;1.36758;0.414899
